Table H-8.  Median Household Income by State: 1984,Unnamed: 1
04000US01,17310.0
04000US02,32356.0
04000US04,21425.0
04000US05,15674.0
04000US06,25287.0
04000US08,25801.0
04000US09,29951.0
04000US10,25819.0
04000US12,19785.0
04000US13,19984.0
04000US15,28877.0
04000US16,21092.0
04000US17,23752.0
04000US18,22770.0
04000US19,19863.0
04000US20,24629.0
04000US21,17680.0
04000US22,18949.0
04000US23,20648.0
04000US24,29708.0
04000US25,26959.0
04000US26,22965.0
04000US27,24436.0
04000US28,15430.0
04000US29,20775.0
04000US30,19536.0
04000US31,21397.0
04000US32,25776.0
04000US33,25914.0
04000US34,27776.0
04000US35,20630.0
04000US36,22027.0
04000US37,20569.0
04000US38,20771.0
04000US39,23123.0
04000US40,21148.0
04000US41,21399.0
04000US42,20346.0
04000US44,21612.0
04000US45,20309.0
04000US46,19409.0
04000US47,16782.0
04000US48,23024.0
04000US49,23057.0
04000US50,22578.0
04000US51,26525.0
04000US53,25017.0
04000US54,16843.0
04000US55,20743.0
04000US56,23816.0
